Dest,Sergiño,Barcelona
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,74
NON_PEN_XG,0.14,98
TOTAL_SHOTS,0.81,71
ASSISTS,0.13,74
XA,0.17,90
NON_PEN_XG+XA,0.31,96
SHOT_CREATIONS,1.98,68
PASSES_ATTEMPTED,56.83,68
PASS_COMPLETION_PERCENTAGE,88.0,97
PROGRESSIVE_PASSES,3.56,50
PROGRESSIVE CARRIES,8.03,95
DRIBBLES_COMPLETED,1.98,95
TOUCHES_IN_AREA,4.44,99
PROGRESSIVE_PASSES_RECIEVED,4.97,97
PRESSURES,15.43,81
TACKLES,1.88,42
INTERCEPTIONS,0.94,3
BLOCKS,1.68,35
CLEARANCES,0.91,1
AERIAL_DUELS_WON,0.44,7
