Guardado,Andrés,Betis
CM,DM,LM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,41
NON_PEN_XG,0.06,47
TOTAL_SHOTS,0.94,50
ASSISTS,0.00,11
XA,0.03,13
NON_PEN_XG+XA,0.09,25
SHOT_CREATIONS,1.54,35
PASSES_ATTEMPTED,56.34,65
PASS_COMPLETION_PERCENTAGE,85.5,63
PROGRESSIVE_PASSES,4.36,62
PROGRESSIVE CARRIES,5.04,77
DRIBBLES_COMPLETED,0.47,22
TOUCHES_IN_AREA,0.60,19
PROGRESSIVE_PASSES_RECIEVED,1.24,32
PRESSURES,13.93,13
TACKLES,1.96,37
INTERCEPTIONS,1.45,38
BLOCKS,1.15,17
CLEARANCES,2.01,80
AERIAL_DUELS_WON,1.45,62
