Dominguez,Carlos,Celta Vigo
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.02,16
TOTAL_SHOTS,0.20,6
ASSISTS,0.00,28
XA,0.02,67
NON_PEN_XG+XA,0.04,21
SHOT_CREATIONS,0.20,4
PASSES_ATTEMPTED,42.21,17
PASS_COMPLETION_PERCENTAGE,84.0,32
PROGRESSIVE_PASSES,2.19,31
PROGRESSIVE CARRIES,1.79,29
DRIBBLES_COMPLETED,0.20,48
TOUCHES_IN_AREA,0.60,25
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,11.55,80
TACKLES,1.59,60
INTERCEPTIONS,1.39,23
BLOCKS,1.79,64
CLEARANCES,6.77,90
AERIAL_DUELS_WON,2.19,35
