Beltrán,Fran,Celta Vigo
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,42
NON_PEN_XG,0.03,13
TOTAL_SHOTS,0.92,48
ASSISTS,0.00,11
XA,0.03,17
NON_PEN_XG+XA,0.05,10
SHOT_CREATIONS,1.40,30
PASSES_ATTEMPTED,58.28,72
PASS_COMPLETION_PERCENTAGE,89.4,91
PROGRESSIVE_PASSES,2.93,22
PROGRESSIVE CARRIES,3.67,47
DRIBBLES_COMPLETED,0.48,23
TOUCHES_IN_AREA,0.35,6
PROGRESSIVE_PASSES_RECIEVED,1.40,39
PRESSURES,19.62,64
TACKLES,2.53,66
INTERCEPTIONS,1.49,40
BLOCKS,1.53,49
CLEARANCES,1.40,45
AERIAL_DUELS_WON,0.74,27
