Mallo,Hugo,Celta Vigo
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,73
NON_PEN_XG,0.04,59
TOTAL_SHOTS,0.73,68
ASSISTS,0.07,45
XA,0.08,53
NON_PEN_XG+XA,0.13,54
SHOT_CREATIONS,1.55,46
PASSES_ATTEMPTED,60.42,79
PASS_COMPLETION_PERCENTAGE,77.6,51
PROGRESSIVE_PASSES,4.99,86
PROGRESSIVE CARRIES,4.56,51
DRIBBLES_COMPLETED,0.50,22
TOUCHES_IN_AREA,1.55,60
PROGRESSIVE_PASSES_RECIEVED,2.35,63
PRESSURES,14.28,71
TACKLES,2.78,83
INTERCEPTIONS,1.22,20
BLOCKS,2.21,78
CLEARANCES,3.31,87
AERIAL_DUELS_WON,2.38,93
