Murillo,Jeison,Celta Vigo
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,73
NON_PEN_XG,0.03,23
TOTAL_SHOTS,0.37,30
ASSISTS,0.00,28
XA,0.01,28
NON_PEN_XG+XA,0.03,16
SHOT_CREATIONS,0.27,9
PASSES_ATTEMPTED,57.79,63
PASS_COMPLETION_PERCENTAGE,90.8,85
PROGRESSIVE_PASSES,1.77,15
PROGRESSIVE CARRIES,2.18,38
DRIBBLES_COMPLETED,0.10,18
TOUCHES_IN_AREA,0.75,44
PROGRESSIVE_PASSES_RECIEVED,0.17,55
PRESSURES,9.39,59
TACKLES,1.77,69
INTERCEPTIONS,1.33,20
BLOCKS,1.80,65
CLEARANCES,4.56,38
AERIAL_DUELS_WON,2.82,61
