Aidoo,Joseph,Celta Vigo
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.02,20
TOTAL_SHOTS,0.43,41
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.02,7
SHOT_CREATIONS,0.68,69
PASSES_ATTEMPTED,48.82,37
PASS_COMPLETION_PERCENTAGE,83.6,28
PROGRESSIVE_PASSES,2.89,60
PROGRESSIVE CARRIES,3.20,65
DRIBBLES_COMPLETED,0.18,44
TOUCHES_IN_AREA,0.80,51
PROGRESSIVE_PASSES_RECIEVED,0.06,19
PRESSURES,11.20,79
TACKLES,1.91,75
INTERCEPTIONS,1.48,30
BLOCKS,1.48,31
CLEARANCES,6.03,82
AERIAL_DUELS_WON,3.63,86
