"b'Yokuslu, Okay'",Celta Vigo
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.08,69
TOTAL_SHOTS,0.88,45
ASSISTS,0.06,46
XA,0.04,27
NON_PEN_XG+XA,0.12,44
SHOT_CREATIONS,0.82,6
PASSES_ATTEMPTED,41.90,24
PASS_COMPLETION_PERCENTAGE,85.1,58
PROGRESSIVE_PASSES,2.87,20
PROGRESSIVE CARRIES,1.81,6
DRIBBLES_COMPLETED,1.11,74
TOUCHES_IN_AREA,0.88,37
PROGRESSIVE_PASSES_RECIEVED,0.82,14
PRESSURES,19.19,59
TACKLES,3.39,94
INTERCEPTIONS,3.10,99
BLOCKS,1.87,76
CLEARANCES,2.57,93
AERIAL_DUELS_WON,2.57,91
