Mina,Santi,Celta Vigo
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.47,76
NON_PEN_XG,0.29,28
TOTAL_SHOTS,2.03,27
ASSISTS,0.15,57
XA,0.08,23
NON_PEN_XG+XA,0.37,21
SHOT_CREATIONS,1.38,8
PASSES_ATTEMPTED,22.87,48
PASS_COMPLETION_PERCENTAGE,71.4,39
PROGRESSIVE_PASSES,0.97,16
PROGRESSIVE CARRIES,1.64,14
DRIBBLES_COMPLETED,0.26,2
TOUCHES_IN_AREA,3.52,5
PROGRESSIVE_PASSES_RECIEVED,6.34,27
PRESSURES,18.70,85
TACKLES,1.12,82
INTERCEPTIONS,0.50,70
BLOCKS,0.79,59
CLEARANCES,1.06,84
AERIAL_DUELS_WON,4.38,89
