Lozano,Anthony,Cádiz
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.32,39
NON_PEN_XG,0.31,35
TOTAL_SHOTS,2.61,61
ASSISTS,0.09,34
XA,0.07,16
NON_PEN_XG+XA,0.38,27
SHOT_CREATIONS,1.98,36
PASSES_ATTEMPTED,16.39,9
PASS_COMPLETION_PERCENTAGE,62.6,6
PROGRESSIVE_PASSES,1.17,30
PROGRESSIVE CARRIES,3.56,70
DRIBBLES_COMPLETED,1.40,72
TOUCHES_IN_AREA,4.28,20
PROGRESSIVE_PASSES_RECIEVED,5.36,10
PRESSURES,11.84,23
TACKLES,0.50,30
INTERCEPTIONS,0.23,17
BLOCKS,0.72,46
CLEARANCES,0.54,39
AERIAL_DUELS_WON,2.79,73
