Haroyan,Varazdat,Cádiz
CB,FB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,76
NON_PEN_XG,0.04,50
TOTAL_SHOTS,0.30,18
ASSISTS,0.00,28
XA,0.01,30
NON_PEN_XG+XA,0.05,35
SHOT_CREATIONS,0.37,24
PASSES_ATTEMPTED,26.22,1
PASS_COMPLETION_PERCENTAGE,82.9,22
PROGRESSIVE_PASSES,0.60,1
PROGRESSIVE CARRIES,0.82,6
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,0.52,19
PROGRESSIVE_PASSES_RECIEVED,0.30,79
PRESSURES,12.17,87
TACKLES,1.94,76
INTERCEPTIONS,1.79,59
BLOCKS,1.64,51
CLEARANCES,4.33,30
AERIAL_DUELS_WON,2.02,22
