González,Diego,Elche
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,63
NON_PEN_XG,0.03,23
TOTAL_SHOTS,0.32,20
ASSISTS,0.00,28
XA,0.01,23
NON_PEN_XG+XA,0.03,9
SHOT_CREATIONS,0.32,15
PASSES_ATTEMPTED,44.81,25
PASS_COMPLETION_PERCENTAGE,87.4,56
PROGRESSIVE_PASSES,1.52,10
PROGRESSIVE CARRIES,2.16,37
DRIBBLES_COMPLETED,0.32,75
TOUCHES_IN_AREA,0.60,25
PROGRESSIVE_PASSES_RECIEVED,0.05,16
PRESSURES,8.98,53
TACKLES,1.46,49
INTERCEPTIONS,1.89,65
BLOCKS,1.62,49
CLEARANCES,5.52,66
AERIAL_DUELS_WON,1.41,6
