Ribaudo,Nico,Espanyol
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,25
NON_PEN_XG,0.10,7
TOTAL_SHOTS,1.96,51
ASSISTS,0.00,1
XA,0.11,15
NON_PEN_XG+XA,0.21,6
SHOT_CREATIONS,2.52,18
PASSES_ATTEMPTED,34.63,30
PASS_COMPLETION_PERCENTAGE,82.2,88
PROGRESSIVE_PASSES,2.80,33
PROGRESSIVE CARRIES,7.43,76
DRIBBLES_COMPLETED,1.96,65
TOUCHES_IN_AREA,3.22,32
PROGRESSIVE_PASSES_RECIEVED,5.05,25
PRESSURES,15.98,50
TACKLES,1.82,78
INTERCEPTIONS,0.56,17
BLOCKS,0.84,16
CLEARANCES,0.70,70
AERIAL_DUELS_WON,1.12,79
