Herrera,Yangel,Espanyol
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,76
NON_PEN_XG,0.08,66
TOTAL_SHOTS,1.18,70
ASSISTS,0.10,70
XA,0.05,30
NON_PEN_XG+XA,0.13,47
SHOT_CREATIONS,1.36,27
PASSES_ATTEMPTED,36.01,13
PASS_COMPLETION_PERCENTAGE,73.7,5
PROGRESSIVE_PASSES,3.07,27
PROGRESSIVE CARRIES,1.95,8
DRIBBLES_COMPLETED,0.73,47
TOUCHES_IN_AREA,1.85,80
PROGRESSIVE_PASSES_RECIEVED,2.06,64
PRESSURES,22.99,88
TACKLES,2.26,52
INTERCEPTIONS,1.25,26
BLOCKS,2.33,95
CLEARANCES,1.60,55
AERIAL_DUELS_WON,4.08,99
