Arambarri,Mauro,Getafe
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,54
NON_PEN_XG,0.07,56
TOTAL_SHOTS,1.61,89
ASSISTS,0.06,47
XA,0.07,55
NON_PEN_XG+XA,0.14,55
SHOT_CREATIONS,2.02,60
PASSES_ATTEMPTED,35.40,10
PASS_COMPLETION_PERCENTAGE,74.5,6
PROGRESSIVE_PASSES,2.43,11
PROGRESSIVE CARRIES,3.25,36
DRIBBLES_COMPLETED,1.32,85
TOUCHES_IN_AREA,1.20,57
PROGRESSIVE_PASSES_RECIEVED,2.02,62
PRESSURES,22.63,87
TACKLES,2.43,61
INTERCEPTIONS,1.84,70
BLOCKS,1.52,48
CLEARANCES,1.35,43
AERIAL_DUELS_WON,1.49,64
