"b'Mitrovic, Stefan'",Getafe
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,69
NON_PEN_XG,0.01,8
TOTAL_SHOTS,0.28,16
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.01,1
SHOT_CREATIONS,0.19,3
PASSES_ATTEMPTED,34.46,6
PASS_COMPLETION_PERCENTAGE,86.9,50
PROGRESSIVE_PASSES,1.11,3
PROGRESSIVE CARRIES,0.70,3
DRIBBLES_COMPLETED,0.06,12
TOUCHES_IN_AREA,0.51,17
PROGRESSIVE_PASSES_RECIEVED,0.03,8
PRESSURES,7.27,28
TACKLES,0.88,9
INTERCEPTIONS,1.36,22
BLOCKS,1.39,22
CLEARANCES,4.61,39
AERIAL_DUELS_WON,2.05,26
