Bacca,Carlos,Granada
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.35,47
NON_PEN_XG,0.28,27
TOTAL_SHOTS,1.67,8
ASSISTS,0.07,27
XA,0.06,14
NON_PEN_XG+XA,0.34,15
SHOT_CREATIONS,1.53,13
PASSES_ATTEMPTED,18.10,15
PASS_COMPLETION_PERCENTAGE,64.6,11
PROGRESSIVE_PASSES,1.25,36
PROGRESSIVE CARRIES,2.51,46
DRIBBLES_COMPLETED,1.04,56
TOUCHES_IN_AREA,4.45,24
PROGRESSIVE_PASSES_RECIEVED,6.13,21
PRESSURES,11.90,24
TACKLES,0.90,68
INTERCEPTIONS,0.35,43
BLOCKS,0.70,40
CLEARANCES,0.56,43
AERIAL_DUELS_WON,1.67,49
