Escudero,Sergio,Granada
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.07,83
TOTAL_SHOTS,1.07,87
ASSISTS,0.11,64
XA,0.11,73
NON_PEN_XG+XA,0.18,79
SHOT_CREATIONS,2.13,77
PASSES_ATTEMPTED,55.17,62
PASS_COMPLETION_PERCENTAGE,81.5,74
PROGRESSIVE_PASSES,3.51,48
PROGRESSIVE CARRIES,3.94,34
DRIBBLES_COMPLETED,0.21,4
TOUCHES_IN_AREA,1.17,43
PROGRESSIVE_PASSES_RECIEVED,2.02,49
PRESSURES,14.70,74
TACKLES,2.88,85
INTERCEPTIONS,1.60,49
BLOCKS,1.81,46
CLEARANCES,1.81,24
AERIAL_DUELS_WON,1.92,87
