Melero,Gonzalo,Levante
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.33,98
NON_PEN_XG,0.12,84
TOTAL_SHOTS,1.20,72
ASSISTS,0.16,87
XA,0.07,54
NON_PEN_XG+XA,0.19,76
SHOT_CREATIONS,1.53,34
PASSES_ATTEMPTED,45.74,35
PASS_COMPLETION_PERCENTAGE,87.1,77
PROGRESSIVE_PASSES,3.33,38
PROGRESSIVE CARRIES,4.48,63
DRIBBLES_COMPLETED,0.76,48
TOUCHES_IN_AREA,1.53,72
PROGRESSIVE_PASSES_RECIEVED,2.62,74
PRESSURES,17.19,40
TACKLES,1.42,10
INTERCEPTIONS,0.87,9
BLOCKS,1.15,16
CLEARANCES,1.86,74
AERIAL_DUELS_WON,1.80,75
