Campaña,José,Levante
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,80
NON_PEN_XG,0.05,35
TOTAL_SHOTS,0.81,40
ASSISTS,0.00,11
XA,0.05,32
NON_PEN_XG+XA,0.09,26
SHOT_CREATIONS,2.54,80
PASSES_ATTEMPTED,54.85,62
PASS_COMPLETION_PERCENTAGE,83.0,45
PROGRESSIVE_PASSES,6.45,93
PROGRESSIVE CARRIES,5.42,81
DRIBBLES_COMPLETED,0.92,61
TOUCHES_IN_AREA,1.15,55
PROGRESSIVE_PASSES_RECIEVED,3.34,86
PRESSURES,16.25,30
TACKLES,1.73,25
INTERCEPTIONS,2.07,82
BLOCKS,1.15,17
CLEARANCES,0.46,3
AERIAL_DUELS_WON,1.38,59
