Duarte,Óscar,Levante
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,49
NON_PEN_XG,0.05,58
TOTAL_SHOTS,0.35,25
ASSISTS,0.00,28
XA,0.02,57
NON_PEN_XG+XA,0.07,53
SHOT_CREATIONS,0.31,13
PASSES_ATTEMPTED,49.85,42
PASS_COMPLETION_PERCENTAGE,87.5,58
PROGRESSIVE_PASSES,2.07,28
PROGRESSIVE CARRIES,1.76,28
DRIBBLES_COMPLETED,0.12,22
TOUCHES_IN_AREA,0.65,32
PROGRESSIVE_PASSES_RECIEVED,0.12,37
PRESSURES,8.01,37
TACKLES,1.15,22
INTERCEPTIONS,1.30,16
BLOCKS,1.34,17
CLEARANCES,7.75,98
AERIAL_DUELS_WON,3.72,88
