Rodríguez,Ángel,Mallorca
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,2
NON_PEN_XG,0.32,39
TOTAL_SHOTS,1.99,26
ASSISTS,0.12,46
XA,0.08,24
NON_PEN_XG+XA,0.40,31
SHOT_CREATIONS,1.87,28
PASSES_ATTEMPTED,18.92,20
PASS_COMPLETION_PERCENTAGE,67.8,19
PROGRESSIVE_PASSES,1.18,30
PROGRESSIVE CARRIES,2.55,46
DRIBBLES_COMPLETED,0.87,38
TOUCHES_IN_AREA,4.17,15
PROGRESSIVE_PASSES_RECIEVED,7.03,42
PRESSURES,16.81,74
TACKLES,0.81,62
INTERCEPTIONS,0.19,10
BLOCKS,0.93,73
CLEARANCES,0.50,35
AERIAL_DUELS_WON,1.18,30
