Rodrigues,Kévin,Rayo Vallecano
LB,LAM,AM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,1
NON_PEN_XG,0.05,2
TOTAL_SHOTS,0.34,1
ASSISTS,0.17,44
XA,0.07,2
NON_PEN_XG+XA,0.14,1
SHOT_CREATIONS,1.88,3
PASSES_ATTEMPTED,42.78,63
PASS_COMPLETION_PERCENTAGE,66.5,8
PROGRESSIVE_PASSES,3.24,47
PROGRESSIVE CARRIES,2.56,1
DRIBBLES_COMPLETED,0.68,6
TOUCHES_IN_AREA,1.36,1
PROGRESSIVE_PASSES_RECIEVED,2.90,2
PRESSURES,16.02,51
TACKLES,1.70,73
INTERCEPTIONS,1.36,86
BLOCKS,1.70,87
CLEARANCES,1.19,94
AERIAL_DUELS_WON,0.85,66
