López,Unai,Rayo Vallecano
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,59
NON_PEN_XG,0.06,46
TOTAL_SHOTS,1.50,85
ASSISTS,0.00,11
XA,0.12,85
NON_PEN_XG+XA,0.18,73
SHOT_CREATIONS,3.26,93
PASSES_ATTEMPTED,64.96,84
PASS_COMPLETION_PERCENTAGE,83.2,45
PROGRESSIVE_PASSES,4.50,67
PROGRESSIVE CARRIES,4.63,67
DRIBBLES_COMPLETED,1.30,85
TOUCHES_IN_AREA,0.85,36
PROGRESSIVE_PASSES_RECIEVED,2.35,70
PRESSURES,17.02,36
TACKLES,2.09,43
INTERCEPTIONS,0.91,10
BLOCKS,1.43,41
CLEARANCES,0.98,22
AERIAL_DUELS_WON,0.59,16
