Valentín,Óscar,Rayo Vallecano
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.09,72
TOTAL_SHOTS,0.43,12
ASSISTS,0.00,11
XA,0.03,21
NON_PEN_XG+XA,0.12,43
SHOT_CREATIONS,0.95,8
PASSES_ATTEMPTED,40.66,22
PASS_COMPLETION_PERCENTAGE,87.2,78
PROGRESSIVE_PASSES,3.82,48
PROGRESSIVE CARRIES,2.86,26
DRIBBLES_COMPLETED,0.26,3
TOUCHES_IN_AREA,0.43,10
PROGRESSIVE_PASSES_RECIEVED,0.52,6
PRESSURES,28.79,99
TACKLES,4.08,99
INTERCEPTIONS,2.77,97
BLOCKS,2.25,93
CLEARANCES,1.65,58
AERIAL_DUELS_WON,1.13,48
