Benzema,Karim,Real Madrid
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.75,96
NON_PEN_XG,0.53,87
TOTAL_SHOTS,3.91,95
ASSISTS,0.29,90
XA,0.25,96
NON_PEN_XG+XA,0.78,95
SHOT_CREATIONS,3.89,95
PASSES_ATTEMPTED,41.59,95
PASS_COMPLETION_PERCENTAGE,83.8,98
PROGRESSIVE_PASSES,3.54,93
PROGRESSIVE CARRIES,5.93,90
DRIBBLES_COMPLETED,1.27,70
TOUCHES_IN_AREA,7.31,92
PROGRESSIVE_PASSES_RECIEVED,8.15,61
PRESSURES,10.25,13
TACKLES,0.51,32
INTERCEPTIONS,0.46,63
BLOCKS,0.40,6
CLEARANCES,0.51,36
AERIAL_DUELS_WON,0.86,21
