Asensio,Marco,Real Madrid
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.47,95
NON_PEN_XG,0.35,91
TOTAL_SHOTS,2.85,86
ASSISTS,0.11,20
XA,0.16,41
NON_PEN_XG+XA,0.51,78
SHOT_CREATIONS,3.50,62
PASSES_ATTEMPTED,46.61,80
PASS_COMPLETION_PERCENTAGE,81.0,82
PROGRESSIVE_PASSES,3.36,52
PROGRESSIVE CARRIES,7.12,71
DRIBBLES_COMPLETED,1.39,38
TOUCHES_IN_AREA,4.42,62
PROGRESSIVE_PASSES_RECIEVED,6.75,57
PRESSURES,9.78,3
TACKLES,0.66,5
INTERCEPTIONS,1.09,69
BLOCKS,0.80,12
CLEARANCES,0.47,43
AERIAL_DUELS_WON,0.29,17
