Militão,Éder,Real Madrid
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,38
NON_PEN_XG,0.09,93
TOTAL_SHOTS,0.83,89
ASSISTS,0.05,82
XA,0.03,77
NON_PEN_XG+XA,0.11,93
SHOT_CREATIONS,0.56,54
PASSES_ATTEMPTED,57.95,64
PASS_COMPLETION_PERCENTAGE,90.0,80
PROGRESSIVE_PASSES,1.74,14
PROGRESSIVE CARRIES,1.61,24
DRIBBLES_COMPLETED,0.32,74
TOUCHES_IN_AREA,0.96,69
PROGRESSIVE_PASSES_RECIEVED,0.21,68
PRESSURES,9.08,55
TACKLES,2.04,78
INTERCEPTIONS,2.09,75
BLOCKS,1.63,50
CLEARANCES,4.66,41
AERIAL_DUELS_WON,2.57,51
