Elustondo,Aritz,Real Sociedad
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,96
NON_PEN_XG,0.04,44
TOTAL_SHOTS,0.38,31
ASSISTS,0.03,68
XA,0.01,28
NON_PEN_XG+XA,0.05,32
SHOT_CREATIONS,0.45,37
PASSES_ATTEMPTED,55.82,59
PASS_COMPLETION_PERCENTAGE,88.5,67
PROGRESSIVE_PASSES,3.63,80
PROGRESSIVE CARRIES,4.70,88
DRIBBLES_COMPLETED,0.27,66
TOUCHES_IN_AREA,0.55,21
PROGRESSIVE_PASSES_RECIEVED,0.21,66
PRESSURES,7.06,22
TACKLES,1.30,37
INTERCEPTIONS,1.51,32
BLOCKS,1.06,3
CLEARANCES,5.55,69
AERIAL_DUELS_WON,2.88,63
