Silva,David,Real Sociedad
AM,CM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,7
NON_PEN_XG,0.20,48
TOTAL_SHOTS,1.37,14
ASSISTS,0.22,65
XA,0.19,61
NON_PEN_XG+XA,0.39,51
SHOT_CREATIONS,3.51,63
PASSES_ATTEMPTED,54.41,91
PASS_COMPLETION_PERCENTAGE,85.4,98
PROGRESSIVE_PASSES,5.32,91
PROGRESSIVE CARRIES,7.35,76
DRIBBLES_COMPLETED,1.81,57
TOUCHES_IN_AREA,4.22,57
PROGRESSIVE_PASSES_RECIEVED,6.42,51
PRESSURES,12.39,16
TACKLES,1.21,37
INTERCEPTIONS,0.99,60
BLOCKS,1.04,34
CLEARANCES,0.38,32
AERIAL_DUELS_WON,0.60,45
