"b'Rakitic, Ivan'",Sevilla
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,62
NON_PEN_XG,0.13,85
TOTAL_SHOTS,1.72,91
ASSISTS,0.14,82
XA,0.08,62
NON_PEN_XG+XA,0.21,81
SHOT_CREATIONS,2.47,77
PASSES_ATTEMPTED,66.17,85
PASS_COMPLETION_PERCENTAGE,87.0,75
PROGRESSIVE_PASSES,4.22,59
PROGRESSIVE CARRIES,4.07,54
DRIBBLES_COMPLETED,0.46,21
TOUCHES_IN_AREA,1.97,82
PROGRESSIVE_PASSES_RECIEVED,2.97,82
PRESSURES,15.36,22
TACKLES,1.36,9
INTERCEPTIONS,1.00,15
BLOCKS,1.39,37
CLEARANCES,1.50,49
AERIAL_DUELS_WON,1.50,65
