El Haddadi,Munir,Sevilla
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.31,74
NON_PEN_XG,0.32,86
TOTAL_SHOTS,2.58,76
ASSISTS,0.10,20
XA,0.07,3
NON_PEN_XG+XA,0.39,53
SHOT_CREATIONS,2.06,7
PASSES_ATTEMPTED,31.13,21
PASS_COMPLETION_PERCENTAGE,78.8,66
PROGRESSIVE_PASSES,1.65,4
PROGRESSIVE CARRIES,3.51,5
DRIBBLES_COMPLETED,0.72,7
TOUCHES_IN_AREA,4.74,68
PROGRESSIVE_PASSES_RECIEVED,7.32,71
PRESSURES,14.95,40
TACKLES,0.82,12
INTERCEPTIONS,0.62,25
BLOCKS,0.93,24
CLEARANCES,0.82,80
AERIAL_DUELS_WON,1.24,80
