Soler,Carlos,Valencia
CM,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,88
NON_PEN_XG,0.12,84
TOTAL_SHOTS,1.02,58
ASSISTS,0.21,92
XA,0.16,91
NON_PEN_XG+XA,0.28,91
SHOT_CREATIONS,2.53,80
PASSES_ATTEMPTED,46.09,36
PASS_COMPLETION_PERCENTAGE,79.1,22
PROGRESSIVE_PASSES,3.92,52
PROGRESSIVE CARRIES,4.76,71
DRIBBLES_COMPLETED,0.90,60
TOUCHES_IN_AREA,1.60,74
PROGRESSIVE_PASSES_RECIEVED,1.96,60
PRESSURES,14.08,13
TACKLES,1.33,8
INTERCEPTIONS,0.75,3
BLOCKS,1.39,35
CLEARANCES,1.60,54
AERIAL_DUELS_WON,0.72,26
