Foulquier,Dimitri,Valencia
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,34
TOTAL_SHOTS,0.34,21
ASSISTS,0.10,63
XA,0.03,13
NON_PEN_XG+XA,0.06,12
SHOT_CREATIONS,0.97,9
PASSES_ATTEMPTED,38.49,5
PASS_COMPLETION_PERCENTAGE,74.3,27
PROGRESSIVE_PASSES,3.01,27
PROGRESSIVE CARRIES,3.40,22
DRIBBLES_COMPLETED,0.81,52
TOUCHES_IN_AREA,0.65,14
PROGRESSIVE_PASSES_RECIEVED,0.92,8
PRESSURES,12.11,44
TACKLES,1.54,19
INTERCEPTIONS,1.44,35
BLOCKS,1.96,56
CLEARANCES,2.35,48
AERIAL_DUELS_WON,0.63,16
