Guedes,Gonçalo,Valencia
LM,WM,LW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,25
NON_PEN_XG,0.18,6
TOTAL_SHOTS,2.39,48
ASSISTS,0.25,87
XA,0.17,75
NON_PEN_XG+XA,0.36,20
SHOT_CREATIONS,3.62,93
PASSES_ATTEMPTED,33.21,86
PASS_COMPLETION_PERCENTAGE,72.5,48
PROGRESSIVE_PASSES,3.78,95
PROGRESSIVE CARRIES,7.81,97
DRIBBLES_COMPLETED,2.11,95
TOUCHES_IN_AREA,3.78,11
PROGRESSIVE_PASSES_RECIEVED,7.30,44
PRESSURES,12.06,27
TACKLES,1.23,88
INTERCEPTIONS,0.69,86
BLOCKS,0.76,53
CLEARANCES,0.09,4
AERIAL_DUELS_WON,0.60,11
