Vallejo,Manu,Valencia
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,5
NON_PEN_XG,0.28,27
TOTAL_SHOTS,1.76,12
ASSISTS,0.00,5
XA,0.06,12
NON_PEN_XG+XA,0.34,14
SHOT_CREATIONS,2.05,40
PASSES_ATTEMPTED,27.66,71
PASS_COMPLETION_PERCENTAGE,75.7,69
PROGRESSIVE_PASSES,3.07,90
PROGRESSIVE CARRIES,4.10,78
DRIBBLES_COMPLETED,0.88,39
TOUCHES_IN_AREA,4.54,29
PROGRESSIVE_PASSES_RECIEVED,6.15,21
PRESSURES,27.95,99
TACKLES,2.49,99
INTERCEPTIONS,0.44,58
BLOCKS,1.02,79
CLEARANCES,0.29,19
AERIAL_DUELS_WON,1.02,26
