Moreno,Alberto,Villarreal
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,59
NON_PEN_XG,0.22,58
TOTAL_SHOTS,1.41,17
ASSISTS,0.00,1
XA,0.09,6
NON_PEN_XG+XA,0.32,30
SHOT_CREATIONS,2.49,16
PASSES_ATTEMPTED,50.85,87
PASS_COMPLETION_PERCENTAGE,83.5,95
PROGRESSIVE_PASSES,3.07,41
PROGRESSIVE CARRIES,6.88,67
DRIBBLES_COMPLETED,1.16,26
TOUCHES_IN_AREA,2.32,10
PROGRESSIVE_PASSES_RECIEVED,4.31,13
PRESSURES,14.43,34
TACKLES,1.49,61
INTERCEPTIONS,2.32,99
BLOCKS,1.58,81
CLEARANCES,1.00,87
AERIAL_DUELS_WON,0.33,19
