Trigueros,Manu,Villarreal
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,20
NON_PEN_XG,0.14,18
TOTAL_SHOTS,1.44,19
ASSISTS,0.15,36
XA,0.17,54
NON_PEN_XG+XA,0.32,31
SHOT_CREATIONS,2.56,20
PASSES_ATTEMPTED,50.85,87
PASS_COMPLETION_PERCENTAGE,83.3,92
PROGRESSIVE_PASSES,5.29,91
PROGRESSIVE CARRIES,4.62,20
DRIBBLES_COMPLETED,0.62,5
TOUCHES_IN_AREA,1.81,4
PROGRESSIVE_PASSES_RECIEVED,5.19,27
PRESSURES,20.93,86
TACKLES,1.84,78
INTERCEPTIONS,0.52,12
BLOCKS,1.17,50
CLEARANCES,0.65,65
AERIAL_DUELS_WON,0.87,68
