Estupiñán,Pervis,Villarreal
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.03,45
TOTAL_SHOTS,0.67,60
ASSISTS,0.00,8
XA,0.07,39
NON_PEN_XG+XA,0.10,36
SHOT_CREATIONS,1.50,43
PASSES_ATTEMPTED,57.42,71
PASS_COMPLETION_PERCENTAGE,80.2,68
PROGRESSIVE_PASSES,3.84,60
PROGRESSIVE CARRIES,5.28,66
DRIBBLES_COMPLETED,1.11,75
TOUCHES_IN_AREA,2.17,79
PROGRESSIVE_PASSES_RECIEVED,3.28,83
PRESSURES,13.34,60
TACKLES,2.50,74
INTERCEPTIONS,3.00,99
BLOCKS,1.78,43
CLEARANCES,2.45,52
AERIAL_DUELS_WON,1.28,58
