Albiol,Raúl,Villarreal
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,50
NON_PEN_XG,0.02,16
TOTAL_SHOTS,0.23,9
ASSISTS,0.00,28
XA,0.03,74
NON_PEN_XG+XA,0.05,30
SHOT_CREATIONS,0.40,27
PASSES_ATTEMPTED,54.83,56
PASS_COMPLETION_PERCENTAGE,89.7,78
PROGRESSIVE_PASSES,2.44,44
PROGRESSIVE CARRIES,3.13,63
DRIBBLES_COMPLETED,0.06,11
TOUCHES_IN_AREA,0.29,6
PROGRESSIVE_PASSES_RECIEVED,0.08,26
PRESSURES,6.18,13
TACKLES,1.23,29
INTERCEPTIONS,1.15,7
BLOCKS,1.38,20
CLEARANCES,5.24,59
AERIAL_DUELS_WON,2.15,33
