Ounahi,Azzedine,Angers
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,95
NON_PEN_XG,0.10,81
TOTAL_SHOTS,1.56,86
ASSISTS,0.00,11
XA,0.09,70
NON_PEN_XG+XA,0.20,78
SHOT_CREATIONS,2.61,82
PASSES_ATTEMPTED,49.64,48
PASS_COMPLETION_PERCENTAGE,85.9,67
PROGRESSIVE_PASSES,4.38,62
PROGRESSIVE CARRIES,5.94,86
DRIBBLES_COMPLETED,1.77,94
TOUCHES_IN_AREA,1.46,68
PROGRESSIVE_PASSES_RECIEVED,3.65,89
PRESSURES,21.80,82
TACKLES,3.13,88
INTERCEPTIONS,1.67,55
BLOCKS,1.67,60
CLEARANCES,0.52,5
AERIAL_DUELS_WON,0.52,12
