Boufal,Sofiane,Angers
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,6
NON_PEN_XG,0.25,20
TOTAL_SHOTS,2.05,27
ASSISTS,0.15,60
XA,0.20,85
NON_PEN_XG+XA,0.45,43
SHOT_CREATIONS,4.20,96
PASSES_ATTEMPTED,38.14,93
PASS_COMPLETION_PERCENTAGE,74.4,62
PROGRESSIVE_PASSES,2.70,86
PROGRESSIVE CARRIES,7.26,96
DRIBBLES_COMPLETED,3.35,99
TOUCHES_IN_AREA,4.10,14
PROGRESSIVE_PASSES_RECIEVED,6.16,21
PRESSURES,16.22,67
TACKLES,2.20,99
INTERCEPTIONS,0.35,43
BLOCKS,0.85,67
CLEARANCES,0.10,5
AERIAL_DUELS_WON,0.40,6
