Mangas,Ricardo,Bordeaux
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,72
NON_PEN_XG,0.06,72
TOTAL_SHOTS,0.65,57
ASSISTS,0.07,44
XA,0.01,1
NON_PEN_XG+XA,0.07,19
SHOT_CREATIONS,1.04,12
PASSES_ATTEMPTED,43.86,13
PASS_COMPLETION_PERCENTAGE,80.0,67
PROGRESSIVE_PASSES,3.12,33
PROGRESSIVE CARRIES,3.77,30
DRIBBLES_COMPLETED,0.52,24
TOUCHES_IN_AREA,1.50,58
PROGRESSIVE_PASSES_RECIEVED,1.82,38
PRESSURES,11.58,34
TACKLES,1.56,20
INTERCEPTIONS,2.02,81
BLOCKS,1.50,19
CLEARANCES,2.02,34
AERIAL_DUELS_WON,1.11,45
