Rode Gregersen,Stian,Bordeaux
DF,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,73
NON_PEN_XG,0.10,96
TOTAL_SHOTS,0.48,48
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.10,86
SHOT_CREATIONS,0.34,18
PASSES_ATTEMPTED,41.40,16
PASS_COMPLETION_PERCENTAGE,87.9,61
PROGRESSIVE_PASSES,1.58,11
PROGRESSIVE CARRIES,1.17,13
DRIBBLES_COMPLETED,0.27,67
TOUCHES_IN_AREA,0.69,36
PROGRESSIVE_PASSES_RECIEVED,0.14,47
PRESSURES,10.02,67
TACKLES,1.78,70
INTERCEPTIONS,2.75,96
BLOCKS,1.65,51
CLEARANCES,6.80,91
AERIAL_DUELS_WON,3.30,78
