Hérelle,Christophe,Brest
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,40
TOTAL_SHOTS,0.46,46
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.04,21
SHOT_CREATIONS,0.40,28
PASSES_ATTEMPTED,46.96,31
PASS_COMPLETION_PERCENTAGE,88.7,69
PROGRESSIVE_PASSES,2.98,61
PROGRESSIVE CARRIES,2.45,45
DRIBBLES_COMPLETED,0.20,48
TOUCHES_IN_AREA,0.66,34
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,7.16,24
TACKLES,1.66,63
INTERCEPTIONS,1.79,58
BLOCKS,1.06,3
CLEARANCES,5.17,56
AERIAL_DUELS_WON,2.19,35
