Faussurier,Julien,Brest
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.04,54
TOTAL_SHOTS,0.52,42
ASSISTS,0.13,71
XA,0.14,84
NON_PEN_XG+XA,0.18,78
SHOT_CREATIONS,3.35,97
PASSES_ATTEMPTED,61.03,80
PASS_COMPLETION_PERCENTAGE,77.8,54
PROGRESSIVE_PASSES,7.21,98
PROGRESSIVE CARRIES,4.89,57
DRIBBLES_COMPLETED,0.52,24
TOUCHES_IN_AREA,2.96,92
PROGRESSIVE_PASSES_RECIEVED,4.12,94
PRESSURES,12.88,53
TACKLES,1.93,44
INTERCEPTIONS,1.42,34
BLOCKS,2.19,75
CLEARANCES,2.32,47
AERIAL_DUELS_WON,0.77,25
