Iglesias,Jonathan,Clermont Foot
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.16,1
ASSISTS,0.00,11
XA,0.03,17
NON_PEN_XG+XA,0.03,2
SHOT_CREATIONS,1.24,19
PASSES_ATTEMPTED,55.65,64
PASS_COMPLETION_PERCENTAGE,89.9,93
PROGRESSIVE_PASSES,1.87,3
PROGRESSIVE CARRIES,2.64,22
DRIBBLES_COMPLETED,0.31,8
TOUCHES_IN_AREA,0.47,12
PROGRESSIVE_PASSES_RECIEVED,2.18,67
PRESSURES,24.87,94
TACKLES,2.80,79
INTERCEPTIONS,0.93,10
BLOCKS,1.71,65
CLEARANCES,0.47,4
AERIAL_DUELS_WON,0.16,1
