Khaoui,Saîf-Eddine,Clermont Foot
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,45
NON_PEN_XG,0.10,7
TOTAL_SHOTS,1.51,24
ASSISTS,0.10,19
XA,0.04,1
NON_PEN_XG+XA,0.14,1
SHOT_CREATIONS,1.61,2
PASSES_ATTEMPTED,39.96,57
PASS_COMPLETION_PERCENTAGE,73.0,31
PROGRESSIVE_PASSES,2.72,30
PROGRESSIVE CARRIES,2.52,1
DRIBBLES_COMPLETED,1.82,58
TOUCHES_IN_AREA,2.42,11
PROGRESSIVE_PASSES_RECIEVED,5.75,40
PRESSURES,17.05,58
TACKLES,2.22,93
INTERCEPTIONS,1.92,99
BLOCKS,1.41,68
CLEARANCES,1.01,87
AERIAL_DUELS_WON,0.40,23
