"b'Frankowski, Przemysaw'",Lens
CB,AM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.26,99
NON_PEN_XG,0.13,97
TOTAL_SHOTS,1.48,96
ASSISTS,0.26,95
XA,0.16,89
NON_PEN_XG+XA,0.29,95
SHOT_CREATIONS,2.00,69
PASSES_ATTEMPTED,51.46,44
PASS_COMPLETION_PERCENTAGE,82.3,79
PROGRESSIVE_PASSES,3.87,61
PROGRESSIVE CARRIES,4.84,57
DRIBBLES_COMPLETED,0.71,46
TOUCHES_IN_AREA,2.65,86
PROGRESSIVE_PASSES_RECIEVED,3.55,89
PRESSURES,17.56,91
TACKLES,2.13,58
INTERCEPTIONS,1.74,61
BLOCKS,1.16,3
CLEARANCES,1.81,24
AERIAL_DUELS_WON,0.39,4
