Banza,Simon,Lens
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.28,30
NON_PEN_XG,0.34,46
TOTAL_SHOTS,2.49,54
ASSISTS,0.18,73
XA,0.14,60
NON_PEN_XG+XA,0.48,52
SHOT_CREATIONS,2.31,56
PASSES_ATTEMPTED,21.76,40
PASS_COMPLETION_PERCENTAGE,74.6,63
PROGRESSIVE_PASSES,1.57,54
PROGRESSIVE CARRIES,2.86,50
DRIBBLES_COMPLETED,1.38,71
TOUCHES_IN_AREA,5.26,57
PROGRESSIVE_PASSES_RECIEVED,9.13,82
PRESSURES,12.08,27
TACKLES,1.38,94
INTERCEPTIONS,0.37,47
BLOCKS,1.01,78
CLEARANCES,0.92,76
AERIAL_DUELS_WON,3.23,79
