"b'Bradaric, Domagoj'",Lille
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,92
NON_PEN_XG,0.03,37
TOTAL_SHOTS,0.42,31
ASSISTS,0.14,78
XA,0.20,94
NON_PEN_XG+XA,0.22,86
SHOT_CREATIONS,1.68,51
PASSES_ATTEMPTED,60.98,80
PASS_COMPLETION_PERCENTAGE,78.9,60
PROGRESSIVE_PASSES,2.94,24
PROGRESSIVE CARRIES,7.29,92
DRIBBLES_COMPLETED,0.56,31
TOUCHES_IN_AREA,0.56,10
PROGRESSIVE_PASSES_RECIEVED,2.80,73
PRESSURES,10.65,22
TACKLES,1.82,38
INTERCEPTIONS,2.24,90
BLOCKS,1.68,36
CLEARANCES,2.80,72
AERIAL_DUELS_WON,1.68,80
