"b'Yazc, Yusuf'",Lille
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,11
NON_PEN_XG,0.25,21
TOTAL_SHOTS,2.34,46
ASSISTS,0.20,76
XA,0.25,96
NON_PEN_XG+XA,0.49,54
SHOT_CREATIONS,4.10,96
PASSES_ATTEMPTED,40.71,95
PASS_COMPLETION_PERCENTAGE,69.6,31
PROGRESSIVE_PASSES,2.99,90
PROGRESSIVE CARRIES,3.97,76
DRIBBLES_COMPLETED,1.37,71
TOUCHES_IN_AREA,2.93,1
PROGRESSIVE_PASSES_RECIEVED,6.18,21
PRESSURES,18.66,84
TACKLES,1.63,99
INTERCEPTIONS,0.46,62
BLOCKS,0.59,27
CLEARANCES,0.33,24
AERIAL_DUELS_WON,0.72,13
