"b'Grbic, Adrian'",Lorient
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,3
NON_PEN_XG,0.25,22
TOTAL_SHOTS,2.71,69
ASSISTS,0.00,5
XA,0.11,44
NON_PEN_XG+XA,0.35,18
SHOT_CREATIONS,1.50,11
PASSES_ATTEMPTED,19.94,22
PASS_COMPLETION_PERCENTAGE,68.8,27
PROGRESSIVE_PASSES,1.10,26
PROGRESSIVE CARRIES,1.40,9
DRIBBLES_COMPLETED,0.30,4
TOUCHES_IN_AREA,3.41,5
PROGRESSIVE_PASSES_RECIEVED,4.81,4
PRESSURES,16.04,66
TACKLES,0.70,50
INTERCEPTIONS,0.40,51
BLOCKS,0.70,42
CLEARANCES,0.90,76
AERIAL_DUELS_WON,2.61,69
