Le Goff,Vincent,Lorient
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,48
NON_PEN_XG,0.03,44
TOTAL_SHOTS,0.62,54
ASSISTS,0.00,8
XA,0.09,63
NON_PEN_XG+XA,0.13,56
SHOT_CREATIONS,1.99,69
PASSES_ATTEMPTED,50.75,41
PASS_COMPLETION_PERCENTAGE,77.2,47
PROGRESSIVE_PASSES,4.77,82
PROGRESSIVE CARRIES,4.05,37
DRIBBLES_COMPLETED,0.36,11
TOUCHES_IN_AREA,1.11,40
PROGRESSIVE_PASSES_RECIEVED,2.68,70
PRESSURES,13.49,62
TACKLES,2.09,55
INTERCEPTIONS,1.27,23
BLOCKS,1.57,26
CLEARANCES,1.93,29
AERIAL_DUELS_WON,0.72,21
