Da Silva,Damien,Lyon
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,51
NON_PEN_XG,0.03,33
TOTAL_SHOTS,0.77,84
ASSISTS,0.00,28
XA,0.01,50
NON_PEN_XG+XA,0.05,35
SHOT_CREATIONS,0.43,33
PASSES_ATTEMPTED,68.20,86
PASS_COMPLETION_PERCENTAGE,90.0,80
PROGRESSIVE_PASSES,4.09,87
PROGRESSIVE CARRIES,4.09,81
DRIBBLES_COMPLETED,0.22,53
TOUCHES_IN_AREA,0.95,68
PROGRESSIVE_PASSES_RECIEVED,0.13,42
PRESSURES,6.15,12
TACKLES,1.08,17
INTERCEPTIONS,1.98,69
BLOCKS,0.99,1
CLEARANCES,5.93,79
AERIAL_DUELS_WON,3.40,82
