Caqueret,Maxence,Lyon
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,15
TOTAL_SHOTS,0.45,13
ASSISTS,0.07,53
XA,0.07,54
NON_PEN_XG+XA,0.10,31
SHOT_CREATIONS,2.59,81
PASSES_ATTEMPTED,59.32,74
PASS_COMPLETION_PERCENTAGE,87.0,75
PROGRESSIVE_PASSES,6.23,91
PROGRESSIVE CARRIES,4.25,60
DRIBBLES_COMPLETED,1.49,90
TOUCHES_IN_AREA,0.83,35
PROGRESSIVE_PASSES_RECIEVED,2.21,67
PRESSURES,26.18,97
TACKLES,3.53,96
INTERCEPTIONS,1.90,74
BLOCKS,1.90,78
CLEARANCES,1.00,23
AERIAL_DUELS_WON,0.76,29
