"b'Caleta-Car, Duje'",Marseille
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,43
NON_PEN_XG,0.02,12
TOTAL_SHOTS,0.23,10
ASSISTS,0.03,67
XA,0.03,77
NON_PEN_XG+XA,0.04,26
SHOT_CREATIONS,0.34,17
PASSES_ATTEMPTED,68.82,87
PASS_COMPLETION_PERCENTAGE,89.0,71
PROGRESSIVE_PASSES,2.92,60
PROGRESSIVE CARRIES,2.98,59
DRIBBLES_COMPLETED,0.07,12
TOUCHES_IN_AREA,0.40,11
PROGRESSIVE_PASSES_RECIEVED,0.07,24
PRESSURES,6.60,17
TACKLES,1.11,19
INTERCEPTIONS,1.31,17
BLOCKS,1.37,20
CLEARANCES,4.49,36
AERIAL_DUELS_WON,2.21,37
