Balerdi,Leonardo,Marseille
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,52
NON_PEN_XG,0.04,47
TOTAL_SHOTS,0.39,35
ASSISTS,0.00,28
XA,0.00,16
NON_PEN_XG+XA,0.04,25
SHOT_CREATIONS,0.47,41
PASSES_ATTEMPTED,69.89,89
PASS_COMPLETION_PERCENTAGE,90.3,81
PROGRESSIVE_PASSES,2.71,53
PROGRESSIVE CARRIES,3.57,76
DRIBBLES_COMPLETED,0.60,93
TOUCHES_IN_AREA,0.60,26
PROGRESSIVE_PASSES_RECIEVED,0.04,12
PRESSURES,11.97,85
TACKLES,1.77,68
INTERCEPTIONS,2.54,91
BLOCKS,1.81,66
CLEARANCES,4.31,30
AERIAL_DUELS_WON,2.02,23
