Udol,Matthieu,Metz
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,56
NON_PEN_XG,0.04,50
TOTAL_SHOTS,0.64,56
ASSISTS,0.09,57
XA,0.06,35
NON_PEN_XG+XA,0.10,37
SHOT_CREATIONS,1.60,47
PASSES_ATTEMPTED,46.10,22
PASS_COMPLETION_PERCENTAGE,80.9,70
PROGRESSIVE_PASSES,2.70,15
PROGRESSIVE CARRIES,4.25,43
DRIBBLES_COMPLETED,0.96,63
TOUCHES_IN_AREA,0.96,31
PROGRESSIVE_PASSES_RECIEVED,1.10,13
PRESSURES,13.81,66
TACKLES,2.24,63
INTERCEPTIONS,2.70,97
BLOCKS,2.42,88
CLEARANCES,2.47,53
AERIAL_DUELS_WON,1.65,79
