Matar Sarr,Pape,Metz
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,83
NON_PEN_XG,0.06,48
TOTAL_SHOTS,1.60,88
ASSISTS,0.03,26
XA,0.04,28
NON_PEN_XG+XA,0.10,34
SHOT_CREATIONS,2.25,69
PASSES_ATTEMPTED,47.79,41
PASS_COMPLETION_PERCENTAGE,83.9,52
PROGRESSIVE_PASSES,3.62,44
PROGRESSIVE CARRIES,5.77,85
DRIBBLES_COMPLETED,1.21,79
TOUCHES_IN_AREA,0.81,33
PROGRESSIVE_PASSES_RECIEVED,1.83,55
PRESSURES,18.74,53
TACKLES,2.64,74
INTERCEPTIONS,1.86,72
BLOCKS,1.34,30
CLEARANCES,1.34,42
AERIAL_DUELS_WON,1.30,55
