Martins,Gelson,Monaco
AM,RM,RW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,46
NON_PEN_XG,0.19,44
TOTAL_SHOTS,1.38,16
ASSISTS,0.15,38
XA,0.12,22
NON_PEN_XG+XA,0.32,32
SHOT_CREATIONS,2.14,9
PASSES_ATTEMPTED,33.30,26
PASS_COMPLETION_PERCENTAGE,79.3,70
PROGRESSIVE_PASSES,1.53,3
PROGRESSIVE CARRIES,5.56,41
DRIBBLES_COMPLETED,2.24,77
TOUCHES_IN_AREA,5.15,76
PROGRESSIVE_PASSES_RECIEVED,7.39,73
PRESSURES,20.40,84
TACKLES,2.50,96
INTERCEPTIONS,1.17,78
BLOCKS,1.33,63
CLEARANCES,0.31,23
AERIAL_DUELS_WON,0.66,51
