Diatta,Krepin,Monaco
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.31,74
NON_PEN_XG,0.13,18
TOTAL_SHOTS,1.34,12
ASSISTS,0.00,1
XA,0.08,6
NON_PEN_XG+XA,0.22,8
SHOT_CREATIONS,1.66,2
PASSES_ATTEMPTED,37.55,46
PASS_COMPLETION_PERCENTAGE,74.9,45
PROGRESSIVE_PASSES,3.21,45
PROGRESSIVE CARRIES,7.03,71
DRIBBLES_COMPLETED,2.17,72
TOUCHES_IN_AREA,4.45,63
PROGRESSIVE_PASSES_RECIEVED,6.31,49
PRESSURES,14.59,35
TACKLES,1.45,58
INTERCEPTIONS,0.52,11
BLOCKS,1.45,75
CLEARANCES,0.41,34
AERIAL_DUELS_WON,1.97,94
