Diop,Sofiane,Monaco
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.38,86
NON_PEN_XG,0.26,72
TOTAL_SHOTS,1.61,27
ASSISTS,0.12,24
XA,0.13,28
NON_PEN_XG+XA,0.39,53
SHOT_CREATIONS,3.19,50
PASSES_ATTEMPTED,39.22,52
PASS_COMPLETION_PERCENTAGE,75.9,49
PROGRESSIVE_PASSES,3.99,72
PROGRESSIVE CARRIES,5.95,49
DRIBBLES_COMPLETED,1.96,64
TOUCHES_IN_AREA,3.80,47
PROGRESSIVE_PASSES_RECIEVED,7.26,69
PRESSURES,22.20,94
TACKLES,2.46,96
INTERCEPTIONS,1.08,66
BLOCKS,1.34,65
CLEARANCES,0.23,15
AERIAL_DUELS_WON,0.77,61
