Cozza,Nicolas,Montpellier
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,53
NON_PEN_XG,0.04,58
TOTAL_SHOTS,0.12,1
ASSISTS,0.04,24
XA,0.02,4
NON_PEN_XG+XA,0.06,14
SHOT_CREATIONS,0.88,6
PASSES_ATTEMPTED,44.96,18
PASS_COMPLETION_PERCENTAGE,79.2,63
PROGRESSIVE_PASSES,3.08,30
PROGRESSIVE CARRIES,4.15,39
DRIBBLES_COMPLETED,0.73,48
TOUCHES_IN_AREA,1.08,37
PROGRESSIVE_PASSES_RECIEVED,0.85,6
PRESSURES,12.46,48
TACKLES,2.54,77
INTERCEPTIONS,2.04,82
BLOCKS,2.08,71
CLEARANCES,2.73,69
AERIAL_DUELS_WON,1.23,52
